serial number: RI70_21217417
torque: 8
start_temp: 23 (0)
finish_temp: 23 (10)
note: przed poprawkami
5.802942 0.212064 23.000000 5336.978947
5.822952 0.211177 23.000000 5379.131579
5.842962 0.206593 23.000000 5427.582474
5.862972 0.212020 23.000000 5471.031579
5.882982 0.211651 23.000000 5517.180851
5.902993 0.210146 23.000000 5566.292553
5.923003 0.210764 23.000000 5613.869110
5.943013 0.207709 23.000000 5665.119171
5.963023 0.212034 23.000000 5713.941489
5.983033 0.209146 23.000000 5766.474227
6.003043 0.208873 23.000000 5822.979058
6.023053 0.211229 23.000000 5874.333333
6.043064 0.209962 23.005155 5932.644330
6.063074 0.211949 23.000000 5992.475936
6.083084 0.211154 23.000000 6053.700535
6.103094 0.207714 23.000000 6121.902062
6.123104 0.213295 23.000000 6187.164894
6.143114 0.210379 23.000000 6259.156250
6.163124 0.210676 23.000000 6335.930851
6.183135 0.210964 23.000000 6411.602094
6.203145 0.209370 23.000000 6494.836842
6.223155 0.213432 23.000000 6577.137566
6.243165 0.210040 23.000000 6663.576720
6.263175 0.209991 23.000000 6758.671875
