serial number: JANUSZ_3_RI70_21414871
torque: 8
start_temp: 25 (25)
finish_temp: 25 (25)
note: rezonacja?, przepuszczono
4.062059 0.092298 25.000000 0.000000
4.082069 0.089630 25.000000 0.000000
4.102080 0.089431 25.000000 0.000000
4.122090 0.088422 25.000000 0.000000
4.142100 0.090740 25.000000 0.000000
4.162110 0.091196 25.000000 0.000000
4.182120 0.087396 25.000000 0.000000
4.202130 0.087825 25.000000 0.000000
4.222140 0.090953 25.000000 0.000000
4.242151 0.090852 25.000000 0.000000
4.262161 0.090404 25.000000 0.000000
4.282171 0.087358 25.000000 0.000000
4.302181 0.088287 25.000000 0.000000
4.322191 0.093287 25.000000 0.000000
4.342201 0.089074 25.000000 0.000000
4.362211 0.089077 25.000000 0.000000
4.382222 0.090738 25.000000 0.000000
4.402232 0.090906 25.000000 0.000000
4.422242 0.091353 25.000000 0.000000
4.442252 0.086887 25.000000 0.000000
4.462262 0.088170 25.000000 0.000000
4.482272 0.093526 25.000000 0.000000
4.502282 0.089710 25.000000 0.000000
4.522293 0.090028 25.000000 0.000000
4.542303 0.087883 25.000000 0.000000
4.562313 0.088615 25.000000 0.000000
4.582323 0.093418 25.000000 0.000000
4.602333 0.087013 25.000000 0.000000
4.622343 0.088775 25.000000 0.000000
4.642353 0.091424 25.000000 0.000000
4.662364 0.089718 25.000000 0.000000
4.682374 0.088960 25.000000 0.000000
4.702384 0.086126 25.000000 0.000000
4.722394 0.087720 25.000000 0.000000
4.742404 0.094794 25.000000 0.000000
4.762414 0.088480 25.000000 0.000000
4.782424 0.087714 25.000000 0.000000
4.802435 0.087866 25.000000 0.000000
4.822445 0.087487 25.000000 0.000000
4.842455 0.092751 25.000000 0.000000
4.862465 0.086684 25.000000 0.000000
4.882475 0.088359 25.000000 0.000000
4.902485 0.092640 25.000000 0.000000
4.922495 0.089304 25.000000 0.000000
4.942506 0.089287 25.000000 0.000000
4.962516 0.086954 25.000000 0.000000
4.982526 0.088653 25.000000 0.000000
5.002536 0.094543 25.000000 0.000000
5.022546 0.087811 25.000000 0.000000
5.042556 0.089527 25.000000 0.000000
5.062567 0.090294 25.000000 0.000000
5.082577 0.089090 25.000000 0.000000
5.102587 0.091535 25.000000 0.000000
5.122597 0.086422 25.000000 0.000000
5.142607 0.089212 25.000000 0.000000
5.162617 0.093557 25.000000 0.000000
5.182627 0.089852 25.000000 0.000000
5.202638 0.087760 25.000000 0.000000
5.222648 0.088333 25.000000 0.000000
5.242658 0.089375 25.000000 0.000000
5.262668 0.094247 25.000000 0.000000
5.282678 0.087287 25.000000 0.000000
5.302688 0.090021 25.000000 0.000000
5.322698 0.091923 25.000000 0.000000
5.342709 0.089353 25.000000 0.000000
5.362719 0.091009 25.000000 0.000000
5.382729 0.087883 25.000000 0.000000
5.402739 0.090695 25.000000 0.000000
5.422749 0.093863 25.000000 0.000000
5.442759 0.090154 25.000000 0.000000
5.462769 0.090313 25.000000 0.000000
5.482780 0.089535 25.000000 0.000000
5.502790 0.090566 25.000000 0.000000
5.522800 0.094545 25.000000 0.000000
5.542810 0.089871 25.000000 0.000000
5.562820 0.091794 25.000000 0.000000
5.582830 0.092047 25.000000 0.000000
5.602840 0.090119 25.000000 0.000000
5.622851 0.090938 25.000000 0.000000
5.642861 0.089290 25.000000 0.000000
5.662871 0.091569 25.000000 0.000000
5.682881 0.092992 25.000000 0.000000
5.702891 0.090348 25.000000 0.000000
5.722901 0.090948 25.000000 0.000000
5.742911 0.090268 25.000000 0.000000
5.762922 0.089636 25.000000 0.000000
5.782932 0.091824 25.000000 0.000000
5.802942 0.090081 25.000000 0.000000
5.822952 0.091989 25.000000 0.000000
5.842962 0.092205 25.000000 0.000000
5.862972 0.090494 25.000000 0.000000
5.882982 0.091795 25.000000 0.000000
5.902993 0.089664 25.000000 0.000000
5.923003 0.091737 25.000000 0.000000
5.943013 0.092882 25.000000 0.000000
5.963023 0.090646 25.000000 0.000000
5.983033 0.091788 25.000000 0.000000
6.003043 0.090425 25.000000 0.000000
6.023053 0.090352 25.000000 0.000000
6.043064 0.091228 25.000000 0.000000
6.063074 0.089363 25.000000 0.000000
6.083084 0.092463 25.000000 0.000000
6.103094 0.091915 25.000000 0.000000
6.123104 0.089600 25.000000 0.000000
6.143114 0.090785 25.000000 0.000000
6.163124 0.089281 25.000000 0.000000
6.183135 0.090864 25.000000 0.000000
6.203145 0.090847 25.000000 0.000000
6.223155 0.089514 25.000000 0.000000
6.243165 0.090819 25.000000 0.000000
6.263175 0.091083 25.000000 0.000000
