serial number: RI70_21217414
torque: 12
start_temp: 23 (24)
finish_temp: 23 (24)
note: przed poprawkami
3.681867 0.176542 23.011300 3783.730942
3.701877 0.198237 23.012020 3827.128079
3.721887 0.183645 23.025067 3860.213333
3.741897 0.184110 23.005047 3908.401869
3.761907 0.178358 23.015785 3944.587444
3.781917 0.171273 23.032586 3989.732759
3.801927 0.194166 23.020290 4040.130435
3.821938 0.189366 23.025849 4077.646226
3.841948 0.181751 23.016621 4126.707763
3.861958 0.192117 23.018654 4166.889423
3.881968 0.179224 23.019912 4208.259912
3.901978 0.191389 23.011619 4253.747619
3.921988 0.186797 23.014545 4284.521531
3.941998 0.175073 23.030517 4325.818966
3.962009 0.191036 23.019429 4362.790476
3.982019 0.181684 23.017963 4393.620370
4.002029 0.188284 23.017674 4435.381395
4.022039 0.193617 23.040773 4460.439614
4.042049 0.176763 23.017093 4499.167401
4.062059 0.190375 23.041143 4531.761905
4.082069 0.183679 23.017880 4556.147465
4.102080 0.181249 23.030631 4593.441441
4.122090 0.189782 23.021422 4614.436019
4.142100 0.177910 23.014449 4648.242291
4.162110 0.194224 23.033267 4676.405941
4.182120 0.191739 23.004381 4697.042857
4.202130 0.178617 23.017600 4730.453333
4.222140 0.193349 23.008195 4752.839024
4.242151 0.182113 23.019910 4780.076233
4.262161 0.189350 23.028571 4813.190476
4.282171 0.188118 23.011943 4832.701422
4.302181 0.175598 23.015022 4869.650655
4.322191 0.195738 23.050628 4897.560386
4.342201 0.187608 23.035849 4925.938679
4.362211 0.183586 23.012719 4966.493088
4.382222 0.186135 23.014884 4989.353488
4.402232 0.176167 23.008282 5030.590308
4.422242 0.193712 23.039809 5064.808612
4.442252 0.192072 23.015845 5093.579710
4.462262 0.179855 23.029502 5138.927602
4.482272 0.198998 23.001194 5166.532338
4.502282 0.185227 23.017169 5206.785388
4.522293 0.193010 23.040980 5246.960784
4.542303 0.191561 23.022095 5273.852381
4.562313 0.178394 23.036967 5322.345972
4.582323 0.198622 23.006579 5356.664474
4.602333 0.191333 23.000000 5395.537975
4.622343 0.187596 23.000000 5446.383648
4.642353 0.192909 23.000000 5476.262821
4.662364 0.180369 23.000000 5530.915663
4.682374 0.196071 23.012903 5574.341935
4.702384 0.191116 23.000000 5613.416667
4.722394 0.181396 23.010488 5673.682927
4.742404 0.199140 23.001854 5711.523179
4.762414 0.186611 23.004634 5767.560976
4.782424 0.195937 23.001589 5821.523179
4.802435 0.191967 23.000000 5860.949045
4.822445 0.181051 23.000000 5928.679012
4.842455 0.202024 23.000000 5972.810811
4.862465 0.192964 23.006369 6026.910828
4.882475 0.191842 23.006494 6094.045455
4.902485 0.195768 23.000000 6134.980645
4.922495 0.183532 23.018405 6207.619632
4.942506 0.202004 23.006623 6263.735099
4.962516 0.197045 23.006667 6316.626667
4.982526 0.187035 23.000000 6393.331250
5.002536 0.200216 23.000000 6442.457516
5.022546 0.189335 23.000000 6514.820513
5.042556 0.198924 23.006711 6583.248322
5.062567 0.196096 23.016516 6635.870968
5.082577 0.186715 23.002716 6720.808642
5.102587 0.209569 23.000000 6780.774648
5.122597 0.199333 23.001867 6850.680000
5.142607 0.198876 23.017895 6935.243421
5.162617 0.205828 23.029517 6993.434483
5.182627 0.191319 23.004586 7082.299363
5.202638 0.209253 23.006434 7158.174825
5.222648 0.202296 23.006133 7227.966667
5.242658 0.193056 23.014026 7322.675325
5.262668 0.203881 23.000000 7392.210884
5.282678 0.192281 23.000000 7477.509554
5.302688 0.205025 23.006897 7567.641379
5.322698 0.205944 23.000000 7637.428571
5.342709 0.192400 23.000000 7732.883871
5.362719 0.212022 23.000000 7816.139860
5.382729 0.201611 23.006711 7895.382550
5.402739 0.201984 23.006757 7993.047297
5.422749 0.201159 23.000000 8068.046667
5.442759 0.190259 23.000000 8158.246835
5.462769 0.211265 23.007042 8251.112676
5.482780 0.205974 23.007042 8324.000000
5.502790 0.199755 23.014968 8420.864516
5.522800 0.209626 23.004857 8504.614286
5.542810 0.197160 23.003355 8582.161290
5.562820 0.205870 23.023673 8680.380952
5.582830 0.196893 23.000000 8749.986577
5.602840 0.191875 23.000000 8833.974194
5.622851 0.211883 23.000000 8925.195804
5.642861 0.200985 23.002400 8989.946667
5.662871 0.205233 23.004295 9082.120805
5.682881 0.205888 23.000000 9157.937500
5.702891 0.193440 23.000000 9225.633987
5.722901 0.207955 23.000000 9317.236486
5.742911 0.198677 23.000000 9374.533784
5.762922 0.197467 23.013333 9449.633333
5.782932 0.208086 23.000000 9529.114094
5.802942 0.195556 23.000795 9580.423841
5.822952 0.208915 23.006111 9662.527778
5.842962 0.203450 23.000000 9717.787671
5.862972 0.195814 23.000000 9775.415584
5.882982 0.214900 23.000000 9853.798561
5.902993 0.201620 23.006093 9893.483444
5.923003 0.206818 23.000552 9962.972414
5.943013 0.207978 23.008671 10021.482517
5.963023 0.197097 23.004967 10062.862745
5.983033 0.218380 23.000000 10138.492754
6.003043 0.207997 23.011064 10174.297872
6.023053 0.201428 23.002914 10228.867550
6.043064 0.207051 23.001655 10293.206897
6.063074 0.195695 23.004935 10322.155844
6.083084 0.212899 23.000000 10389.657143
6.103094 0.209418 23.006849 10430.383562
6.123104 0.201358 23.006531 10470.945578
6.143114 0.220226 23.007704 10535.800000
6.163124 0.205456 23.006849 10559.863014
6.183135 0.210376 23.013793 10615.937931
6.203145 0.206348 23.006897 10662.062069
6.223155 0.195815 23.000000 10691.346154
6.243165 0.219304 23.000000 10754.548872
6.263175 0.208918 23.000000 10779.910959
