serial number: JANUSZ_3_RI80_21414841
torque: 16
start_temp: 138 (138)
finish_temp: 138 (138)
note: ma interpolacje
4.982526 0.105415 138.182069 0.000000
5.002536 0.099935 138.545185 0.000000
5.022546 0.090145 138.796209 0.000000
5.042556 0.098961 139.009009 0.000000
5.062567 0.091138 138.000000 0.000000
5.082577 0.092901 138.000000 0.000000
5.102587 0.104572 138.146597 0.000000
5.122597 0.091152 138.401914 0.000000
5.142607 0.103973 138.729057 0.000000
5.162617 0.100839 138.418462 0.000000
5.182627 0.092920 139.140837 0.000000
5.202638 0.097876 138.528302 0.000000
5.222648 0.089551 138.132701 0.000000
5.242658 0.104173 138.493846 0.000000
5.262668 0.108385 138.284855 0.000000
5.282678 0.097029 138.858477 0.000000
5.302688 0.105192 138.814545 0.000000
5.322698 0.096465 138.851667 0.000000
5.342709 0.095480 138.562557 0.000000
5.362719 0.102782 138.826806 0.000000
5.382729 0.091807 138.260971 0.000000
5.402739 0.103936 138.533832 0.000000
5.422749 0.097678 138.301075 0.000000
5.442759 0.099185 138.420000 0.000000
5.462769 0.103900 138.413793 0.000000
5.482780 0.089784 139.071770 0.000000
5.502790 0.101922 139.719437 0.000000
5.522800 0.106936 139.229425 0.000000
5.542810 0.093686 138.448000 0.000000
5.562820 0.101406 138.301935 0.000000
5.582830 0.101943 138.791556 0.000000
5.602840 0.101751 138.411765 0.000000
5.622851 0.095281 139.071538 0.000000
5.642861 0.074157 138.665827 0.000000
5.662871 0.099091 138.981850 0.000000
5.682881 0.096572 138.452766 0.000000
5.702891 0.095206 138.270531 0.000000
5.722901 0.100265 138.976682 0.000000
5.742911 0.084376 138.334480 0.000000
5.762922 0.101202 138.436432 0.000000
5.782932 0.102974 138.419218 0.000000
5.802942 0.091103 139.439252 0.000000
5.822952 0.099035 138.000000 0.000000
5.842962 0.087334 139.190338 0.000000
5.862972 0.092837 139.035000 0.000000
5.882982 0.101476 138.557157 0.000000
5.902993 0.089663 138.533333 0.000000
5.923003 0.108059 139.125517 0.000000
5.943013 0.100588 138.696889 0.000000
5.963023 0.090280 139.054414 0.000000
5.983033 0.100750 138.398104 0.000000
6.003043 0.087773 138.666667 0.000000
6.023053 0.100584 138.696075 0.000000
6.043064 0.108000 138.579535 0.000000
6.063074 0.093365 138.819904 0.000000
6.083084 0.104126 139.194313 0.000000
6.103094 0.093012 138.571429 0.000000
6.123104 0.091874 138.504505 0.000000
6.143114 0.100057 138.681980 0.000000
6.163124 0.093305 138.011144 0.000000
6.183135 0.095799 138.625455 0.000000
6.203145 0.094126 138.121865 0.000000
6.223155 0.093767 139.172830 0.000000
6.243165 0.097011 138.782466 0.000000
6.263175 0.086182 138.736150 0.000000
