serial number: JANUSZ_2_RI80_21414848
torque: 16
start_temp: 23 (24)
finish_temp: 23 (24)
note: po ostygnieciu
2.061045 0.150736 23.020408 12878.091837
2.081055 0.150423 23.018000 12911.435000
2.101065 0.150562 23.020905 12930.643216
2.121075 0.153009 23.024286 12957.556122
2.141085 0.152901 23.020914 12991.299492
2.161096 0.151251 23.022245 13006.984694
2.181106 0.151752 23.005076 13044.431472
2.201116 0.153492 23.007539 13066.565445
2.221126 0.153107 23.015385 13092.769231
2.241136 0.153633 23.013128 13130.312821
2.261146 0.151212 23.029548 13146.206030
2.281156 0.153334 23.022449 13187.352041
2.301167 0.153681 23.028163 13214.122449
2.321177 0.152352 23.011224 13241.994898
2.341187 0.152026 23.018182 13285.065657
2.361197 0.152313 23.042626 13308.959596
2.381207 0.154635 23.027302 13353.365079
2.401217 0.152999 23.018776 13393.602041
2.421227 0.151730 23.005657 13423.121212
2.441238 0.152614 23.010964 13476.375635
2.461248 0.153853 23.031134 13508.252577
2.481258 0.154032 23.024082 13555.821429
2.501268 0.152796 23.032323 13609.909091
2.521278 0.151996 23.031020 13642.714286
2.541288 0.154845 23.029072 13704.948454
2.561298 0.154332 23.015179 13752.671795
2.581309 0.153679 23.005155 13802.597938
2.601319 0.153353 23.025641 13872.615385
2.621329 0.154091 23.015179 13918.692308
2.641339 0.155188 23.025846 13993.682051
2.661349 0.153727 23.008290 14064.461140
2.681359 0.153072 23.002020 14122.530303
2.701369 0.153973 23.020513 14213.389744
2.721380 0.155461 23.035876 14279.628866
2.741390 0.154595 23.030881 14363.492228
2.761400 0.153176 23.005918 14458.867347
2.781410 0.153494 23.014898 14527.448980
2.801420 0.155013 23.036082 14635.159794
2.821430 0.154531 23.028247 14723.082474
2.841440 0.154022 23.043333 14811.119792
2.861451 0.153839 23.016327 14926.505102
2.881461 0.154486 23.015544 15009.953368
2.901471 0.155498 23.014433 15127.474227
2.921481 0.154415 23.035102 15243.576531
2.941491 0.154077 23.036062 15338.932642
2.961501 0.154576 23.024456 15476.979275
2.981511 0.155189 23.029072 15586.587629
3.001522 0.154185 23.027897 15709.610256
3.021532 0.153273 23.025381 15854.401015
3.041542 0.154668 23.028866 15963.056701
3.061552 0.155935 23.039378 16116.170984
3.081562 0.155009 23.034819 16253.849741
3.101572 0.153913 23.037980 8764.939394
3.121583 0.155217 23.062798 157.264249
3.141593 0.155402 23.005181 279.067358
3.161603 0.155790 23.032880 423.675393
3.181613 0.154626 23.020000 574.525773
3.201623 0.154171 23.012021 686.108808
3.221633 0.155407 23.021031 839.015464
3.241643 0.155958 23.008247 964.932990
3.261654 0.154189 23.014769 1082.579487
3.281664 0.154549 23.029375 1222.942708
3.301674 0.154866 23.007010 1320.216495
3.321684 0.154336 23.033469 1441.561224
3.341694 0.153914 23.037320 1556.226804
3.361704 0.153268 23.026327 1641.224490
3.381714 0.155194 23.024583 1753.557292
3.401725 0.154220 23.039590 1834.292308
3.421735 0.154454 23.032124 1918.694301
3.441745 0.153782 23.045888 2013.375635
3.461755 0.153628 23.036122 2074.341837
3.481765 0.155424 23.042723 2158.586387
3.501775 0.153129 23.031111 2226.954545
3.521785 0.152764 23.052371 2284.000000
3.541796 0.155386 23.044767 2359.720207
3.561806 0.154610 23.018667 2407.641026
3.581816 0.155306 23.028125 2469.880208
3.601826 0.153932 23.029184 2531.698980
3.621836 0.152771 23.025436 2573.194872
3.641846 0.156213 23.024663 2637.295337
3.661856 0.154393 23.019592 2681.841837
3.681867 0.155325 23.008172 2728.989247
3.701877 0.154647 23.044103 2784.148718
3.721887 0.154671 23.030769 2817.297436
3.741897 0.156544 23.033717 2869.722513
3.761907 0.152785 23.017143 2909.132275
3.781917 0.153671 23.019692 2943.130769
3.801927 0.156310 23.003437 2991.281250
3.821938 0.153972 23.027692 3015.930769
3.841948 0.154916 23.024375 3055.429688
3.861958 0.152641 23.015077 3091.361538
3.881968 0.153093 23.010154 3114.530769
3.901978 0.156194 23.013437 3155.234375
3.921988 0.152238 23.009697 3181.340909
3.941998 0.152760 23.015385 3211.676923
3.962009 0.150899 23.007463 3248.447761
3.982019 0.151931 23.007692 3269.330769
4.002029 0.154168 23.007692 3308.438462
4.022039 0.148718 23.014815 3336.444444
4.042049 0.151509 22.992424 3362.606061
4.062059 0.152588 23.020909 3398.712121
4.082069 0.150433 23.016541 3418.699248
4.102080 0.152845 23.000308 3451.553846
4.122090 0.148381 23.005294 3477.691176
4.142100 0.150370 23.009846 3497.592308
4.162110 0.153927 23.000000 3527.631579
4.182120 0.149395 23.007463 3544.597015
4.202130 0.151655 22.992424 3570.969697
4.222140 0.150607 23.000000 3593.045455
4.242151 0.151911 23.022556 3606.172932
4.262161 0.153540 23.011212 3638.969697
4.282171 0.147947 23.018947 3654.360902
4.302181 0.152304 23.000000 3674.840909
4.322191 0.154250 23.043780 3710.716535
4.342201 0.151072 23.049552 3730.305970
4.362211 0.152384 23.007576 3777.757576
4.382222 0.148372 23.013333 3814.851852
4.402232 0.151364 23.005714 3844.406015
4.422242 0.152834 23.017099 3878.351145
4.442252 0.148279 23.015224 3891.514925
4.462262 0.150895 23.015224 3909.925373
4.482272 0.147228 23.014222 3923.651852
4.502282 0.149211 23.003609 3934.533835
4.522293 0.150181 23.011343 3960.589552
4.542303 0.144194 23.010725 3969.913043
4.562313 0.149580 23.010000 3985.833333
4.582323 0.148255 23.034745 4010.328467
4.602333 0.147265 23.010667 4022.785185
4.622343 0.148197 23.008696 4046.710145
4.642353 0.145299 23.035821 4064.589552
4.662364 0.149582 23.002985 4084.895522
4.682374 0.149289 23.035036 4109.715328
4.702384 0.144832 23.005839 4123.613139
4.722394 0.147873 23.027353 4153.705882
4.742404 0.147000 23.024118 4171.507353
4.762414 0.148613 23.000000 4188.455224
4.782424 0.149601 23.035489 4220.984962
4.802435 0.145764 23.002014 4232.007194
4.822445 0.149963 23.007576 4257.265152
4.842455 0.149255 23.014925 4282.305970
4.862465 0.148239 23.000000 4292.646617
4.882475 0.148136 23.002899 4321.826087
4.902485 0.146164 23.011679 4339.744526
4.922495 0.149413 23.000902 4356.909774
4.942506 0.148379 23.006471 4383.411765
4.962516 0.145510 23.009778 4398.629630
4.982526 0.148293 23.005000 4424.985294
5.002536 0.146662 23.007353 4445.713235
5.022546 0.148439 23.014815 4467.111111
5.042556 0.147728 23.000000 4494.992593
5.062567 0.144979 23.011594 4513.949275
5.082577 0.149886 23.017647 4544.602941
5.102587 0.148449 23.000000 4568.850746
5.122597 0.148324 23.015267 4590.694656
5.142607 0.147561 23.017647 4622.845588
5.162617 0.146646 23.017353 4647.066176
5.182627 0.150051 23.001846 4673.600000
5.202638 0.147742 23.007007 4705.956204
5.222648 0.146137 23.000294 4727.066176
5.242658 0.149494 23.040000 4761.162963
5.262668 0.148249 23.030882 4789.147059
5.282678 0.147759 23.002985 4809.768657
5.302688 0.148469 23.007353 4852.286765
5.322698 0.145463 23.036765 4867.742647
5.342709 0.149187 23.017015 4908.335821
5.362719 0.149057 23.014815 4935.718519
5.382729 0.145641 23.012374 4962.798561
5.402739 0.148094 23.014925 5006.500000
5.422749 0.148753 23.000000 5034.363636
5.442759 0.148090 23.014493 5071.152174
5.462769 0.149778 23.037313 5112.574627
5.482780 0.144273 23.028777 5140.395683
5.502790 0.148017 23.025481 5192.888889
5.522800 0.122223 23.002393 5264.670940
5.542810 0.145660 23.005588 5265.529412
5.562820 0.148156 23.039407 5319.444444
5.582830 0.142617 23.023318 5352.696682
5.602840 0.146771 23.004729 5409.315271
5.622851 0.146854 23.010000 5455.779412
5.642861 0.143890 23.009524 5497.252381
5.662871 0.146992 23.015764 5564.325123
5.682881 0.146447 23.017670 5605.218447
5.702891 0.146305 23.010640 5666.073892
5.722901 0.147741 23.000000 5728.379310
5.742911 0.144831 23.015534 5777.334951
5.762922 0.148334 23.018719 5855.512315
5.782932 0.147625 23.016158 5910.591133
5.802942 0.145144 23.008390 5974.960976
5.822952 0.147876 23.000000 6059.193237
5.842962 0.145583 23.009662 6117.922705
5.862972 0.148425 23.009950 6205.407960
5.882982 0.147108 23.029268 6281.151220
5.902993 0.143966 23.011154 6353.399038
5.923003 0.149132 23.018416 6457.321782
5.943013 0.146854 23.026146 6529.195122
5.963023 0.146445 23.007960 6624.109453
5.983033 0.148570 23.017734 6728.167488
6.003043 0.144863 23.020194 6812.174757
6.023053 0.148927 23.006139 6933.049505
6.043064 0.148124 23.007921 7029.579208
6.063074 0.144646 23.015534 7134.126214
6.083084 0.148640 23.015764 7269.532020
6.103094 0.147127 23.009804 7369.818627
6.123104 0.148374 23.015842 7501.633663
6.143114 0.147301 23.013725 7631.053922
6.163124 0.145359 23.002319 7744.966184
6.183135 0.150351 23.014874 7899.231156
6.203145 0.147513 23.008116 8017.169082
6.223155 0.147594 23.011000 8149.560000
6.243165 0.149139 23.003350 8303.891626
6.263175 0.146926 23.004878 8422.004878
