serial number: JANUSZ_3_RI70_21414871
torque: 12
start_temp: 25 (25)
finish_temp: 25 (25)
note: rezonacja?, przepuszczono
1.340680 0.214216 25.000000 0.000000
1.360690 0.209563 25.000000 0.000000
1.380700 0.214307 25.000000 0.000000
1.400710 0.211668 25.000000 0.000000
1.420720 0.213679 25.000000 0.000000
1.440730 0.211747 25.000000 0.000000
1.460741 0.209336 25.000000 0.000000
1.480751 0.215052 25.000000 0.000000
1.500761 0.212002 25.000000 0.000000
1.520771 0.210460 25.000000 0.000000
1.540781 0.210343 25.000000 0.000000
1.560791 0.208820 25.000000 0.000000
1.580801 0.215421 25.000000 0.000000
1.600812 0.212791 25.000000 0.000000
1.620822 0.210497 25.000000 0.000000
1.640832 0.213424 25.000000 0.000000
1.660842 0.211456 25.000000 0.000000
1.680852 0.216146 25.000000 0.000000
1.700862 0.212588 25.000000 0.000000
1.720872 0.212215 25.000000 0.000000
1.740883 0.217816 25.000000 0.000000
1.760893 0.214965 25.000000 0.000000
1.780903 0.213823 25.000000 0.000000
1.800913 0.214178 25.000000 0.000000
1.820923 0.212544 25.000000 0.000000
1.840933 0.220159 25.000000 0.000000
1.860943 0.217294 25.000000 0.000000
1.880954 0.212128 25.000000 0.000000
1.900964 0.216857 25.000000 0.000000
1.920974 0.213410 25.000000 0.000000
1.940984 0.219257 25.000000 0.000000
1.960994 0.215170 25.000000 0.000000
1.981004 0.213468 25.000000 0.000000
2.001014 0.219039 25.000000 0.000000
2.021025 0.215321 25.000000 0.000000
2.041035 0.215791 25.000000 0.000000
2.061045 0.214052 25.000000 0.000000
2.081055 0.214067 25.000000 0.000000
2.101065 0.220118 25.000000 0.000000
2.121075 0.216464 25.000000 0.000000
2.141085 0.212486 25.000000 0.000000
2.161096 0.215482 25.000000 0.000000
2.181106 0.214247 25.000000 0.000000
2.201116 0.220606 25.000000 0.000000
2.221126 0.215288 25.000000 0.000000
2.241136 0.213902 25.000000 0.000000
2.261146 0.220067 25.000000 0.000000
2.281156 0.215357 25.000000 0.000000
2.301167 0.217790 25.000000 0.000000
2.321177 0.215506 25.000000 0.000000
2.341187 0.214818 25.000000 0.000000
2.361197 0.222646 25.000000 0.000000
2.381207 0.217723 25.000000 0.000000
2.401217 0.213486 25.000000 0.000000
2.421227 0.218048 25.000000 0.000000
2.441238 0.213669 25.000000 0.000000
2.461248 0.221065 25.000000 0.000000
2.481258 0.215360 25.000000 0.000000
2.501268 0.213772 25.000000 0.000000
2.521278 0.220156 25.000000 0.000000
2.541288 0.215320 25.000000 0.000000
2.561298 0.218697 25.000000 0.000000
2.581309 0.214573 25.000000 0.000000
2.601319 0.214294 25.000000 0.000000
2.621329 0.221377 25.000000 0.000000
2.641339 0.217020 25.000000 0.000000
2.661349 0.214135 25.000000 0.000000
2.681359 0.217374 25.000000 0.000000
2.701369 0.214500 25.000000 0.000000
2.721380 0.219870 25.000000 0.000000
2.741390 0.215564 25.000000 0.000000
2.761400 0.212820 25.000000 0.000000
2.781410 0.219987 24.998082 0.000000
2.801420 0.213993 24.996987 0.000000
2.821430 0.217675 25.000000 0.000000
2.841440 0.215404 25.000000 0.000000
2.861451 0.213506 25.000000 0.000000
2.881461 0.220698 25.000000 0.000000
2.901471 0.215736 25.000000 0.000000
2.921481 0.215406 25.000000 0.000000
2.941491 0.217757 25.000000 0.000000
2.961501 0.215804 25.000000 0.000000
2.981511 0.219907 25.000000 0.000000
3.001522 0.215484 25.000000 0.000000
3.021532 0.214039 25.000000 0.000000
3.041542 0.218207 25.000000 0.000000
3.061552 0.213563 25.000000 0.000000
3.081562 0.215589 25.000000 0.000000
3.101572 0.215546 25.000000 0.000000
3.121583 0.214978 25.000000 0.000000
3.141593 0.217812 25.000000 0.000000
3.161603 0.214927 25.000000 0.000000
3.181613 0.214062 25.000000 0.000000
3.201623 0.216626 25.000000 0.000000
3.221633 0.215650 25.000000 0.000000
3.241643 0.216556 25.000000 0.000000
3.261654 0.214752 25.000000 0.000000
3.281664 0.213630 25.000000 0.000000
3.301674 0.216745 25.000000 0.000000
3.321684 0.214606 25.000000 0.000000
3.341694 0.215891 25.000000 0.000000
3.361704 0.216363 25.000000 0.000000
3.381714 0.214934 25.000000 0.000000
3.401725 0.215118 25.000000 0.000000
3.421735 0.214721 25.000000 0.000000
3.441745 0.215222 25.000000 0.000000
3.461755 0.215602 25.000000 0.000000
3.481765 0.215790 25.000000 0.000000
3.501775 0.213880 25.000000 0.000000
3.521785 0.214704 25.000000 0.000000
3.541796 0.214823 25.000000 0.000000
3.561806 0.215242 25.000000 0.000000
3.581816 0.215449 25.000000 0.000000
3.601826 0.214534 25.000000 0.000000
3.621836 0.215765 25.000000 0.000000
3.641846 0.215405 25.000000 0.000000
3.661856 0.212870 25.000000 0.000000
3.681867 0.214087 25.000000 0.000000
3.701877 0.215563 25.000000 0.000000
3.721887 0.215363 25.000000 0.000000
3.741897 0.213945 25.000000 0.000000
3.761907 0.212580 25.000000 0.000000
3.781917 0.213724 25.000000 0.000000
3.801927 0.215570 25.000000 0.000000
3.821938 0.214122 25.000000 0.000000
3.841948 0.212876 25.000000 0.000000
3.861958 0.214671 25.000000 0.000000
3.881968 0.214362 25.000000 0.000000
3.901978 0.214373 25.000000 0.000000
3.921988 0.211978 25.000000 0.000000
3.941998 0.213163 25.000000 0.000000
3.962009 0.216476 25.000000 0.000000
3.982019 0.213837 25.000000 0.000000
4.002029 0.213456 25.000000 0.000000
4.022039 0.212125 25.000000 0.000000
4.042049 0.213624 25.000000 0.000000
4.062059 0.216872 25.000000 0.000000
4.082069 0.212680 25.000000 0.000000
4.102080 0.214233 25.000000 0.000000
4.122090 0.216288 25.000000 0.000000
4.142100 0.215593 25.000000 0.000000
4.162110 0.216202 25.000000 0.000000
4.182120 0.213525 25.000000 0.000000
4.202130 0.214289 25.000000 0.000000
4.222140 0.218700 25.000000 0.000000
4.242151 0.215089 25.000000 0.000000
4.262161 0.213963 25.000000 0.000000
4.282171 0.215993 25.000000 0.000000
4.302181 0.214654 25.000000 0.000000
4.322191 0.217427 25.000000 0.000000
4.342201 0.212601 25.000000 0.000000
4.362211 0.212541 25.000000 0.000000
4.382222 0.218898 25.000000 0.000000
4.402232 0.216029 25.000000 0.000000
4.422242 0.215571 25.000000 0.000000
4.442252 0.212652 25.000000 0.000000
4.462262 0.212842 25.000000 0.000000
4.482272 0.220432 25.000000 0.000000
4.502282 0.214520 25.000000 0.000000
4.522293 0.213738 25.000000 0.000000
4.542303 0.216996 25.000000 0.000000
4.562313 0.213639 25.000000 0.000000
4.582323 0.216099 25.000000 0.000000
4.602333 0.212232 25.000000 0.000000
4.622343 0.213196 25.000000 0.000000
4.642353 0.220997 25.000000 0.000000
4.662364 0.215632 25.000000 0.000000
