serial number: RI70_21209061
torque: 8
start_temp: 22 (22)
finish_temp: 22 (23)
note: montaz przymiar
2.901471 0.663314 22.000000 4224.212644
2.921481 0.658700 21.998780 4256.298780
2.941491 0.659341 21.996074 4277.312883
2.961501 0.661757 21.999075 4313.531792
2.981511 0.658105 22.000000 4340.754386
3.001522 0.660508 22.000000 4377.213836
3.021532 0.659176 22.000000 4405.825301
3.041542 0.656829 22.000000 4444.011628
3.061552 0.661406 22.000000 4472.512346
3.081562 0.657354 22.000000 4511.532934
3.101572 0.658469 22.000000 4538.616279
3.121583 0.659453 22.000000 4576.828221
3.141593 0.503050 22.000000 4601.106557
3.161603 0.598750 22.000000 4634.908629
3.181613 0.612738 22.000000 4666.283505
3.201623 0.622877 22.000000 4686.321244
3.221633 0.630718 22.000000 4720.789474
3.241643 0.630509 22.000000 4745.989529
3.261654 0.634156 22.000000 4771.086486
3.281664 0.635790 22.000000 4798.830769
3.301674 0.638293 22.000000 4831.627027
3.321684 0.640962 22.000000 4851.843243
3.341694 0.639710 22.000000 4883.753927
3.361704 0.640407 22.000000 4917.341969
3.381714 0.642211 22.000000 4941.657459
3.401725 0.641329 22.000000 4971.510870
3.421735 0.644120 22.000000 5005.331551
3.441745 0.642532 22.000000 5038.361702
3.461755 0.643848 21.996264 5069.560440
3.481765 0.646848 21.998333 5112.072917
3.501775 0.642573 21.992747 5143.780220
3.521785 0.647242 21.996421 5182.221053
3.541796 0.644164 22.000000 5215.317204
3.561806 0.643165 22.000000 5251.637363
3.581816 0.648293 21.999149 5284.606383
3.601826 0.645455 21.996667 5320.427778
3.621836 0.645823 21.998763 5356.938144
3.641846 0.647814 22.000000 5391.978142
3.661856 0.645719 22.000000 5431.679144
3.681867 0.648831 21.999570 5466.575269
3.701877 0.648611 21.996906 5507.292818
3.721887 0.646052 21.998000 5546.344444
3.741897 0.648276 22.000000 5588.542105
3.761907 0.647238 22.000000 5634.851064
3.781917 0.649299 22.000000 5681.864130
3.801927 0.648978 22.000000 5730.425532
3.821938 0.647878 22.000000 5779.756906
3.841948 0.649690 22.000000 5831.340426
3.861958 0.647030 22.000000 5885.114130
3.881968 0.647268 22.000000 5941.151832
3.901978 0.647393 22.000000 5997.928177
3.921988 0.644624 22.000000 6056.027027
3.941998 0.648420 21.996324 6117.383784
3.962009 0.646592 21.994043 6182.388298
3.982019 0.645498 21.998930 6251.502674
4.002029 0.645945 22.000000 6322.360656
4.022039 0.645406 21.996421 6397.221053
4.042049 0.647042 21.998212 6474.726257
4.062059 0.646282 22.000000 6554.755208
4.082069 0.645033 22.000000 6640.737705
4.102080 0.649123 22.000000 6727.185792
4.122090 0.645937 22.000000 6818.322581
4.142100 0.648193 22.000000 6911.957219
4.162110 0.648904 22.000000 7010.000000
4.182120 0.645780 22.000000 7110.202186
4.202130 0.651147 22.000000 7212.882353
4.222140 0.647497 22.000000 7319.331492
4.242151 0.646943 22.000000 7426.712766
4.262161 0.651214 22.000000 7538.835979
4.282171 0.648113 22.000000 7652.158192
4.302181 0.649712 22.000000 7768.084656
4.322191 0.650072 22.000000 7889.589189
4.342201 0.648950 22.000000 8008.305556
4.362211 0.652643 22.000000 8129.734043
4.382222 0.649841 22.000000 8255.578378
4.402232 0.653217 22.000000 8379.755435
4.422242 0.650741 22.000000 8504.569892
4.442252 0.650679 22.000000 8627.696133
4.462262 0.654369 22.000000 8749.176471
4.482272 0.650844 22.000000 8869.026882
4.502282 0.653118 22.000000 8988.870968
4.522293 0.652923 22.000000 9101.125714
4.542303 0.649747 22.000000 9211.444444
4.562313 0.654531 22.000000 9320.751351
4.582323 0.652256 22.000000 9424.480447
4.602333 0.651887 22.000000 9525.340541
4.622343 0.656460 22.000000 9623.712707
4.642353 0.652303 22.000000 9718.550000
4.662364 0.653845 22.000000 9810.091398
4.682374 0.654563 22.000000 9899.282609
4.702384 0.652107 22.000000 9984.940217
4.722394 0.655152 22.000000 10065.817680
4.742404 0.653603 22.000000 10144.551351
4.762414 0.653962 22.000000 10221.333333
4.782424 0.654290 22.000000 10292.762431
4.802435 0.653767 22.000000 10364.251309
4.822445 0.657336 22.000000 10431.955556
4.842455 0.655406 22.000000 10495.852459
4.862465 0.653240 22.000000 10558.065934
4.882475 0.657339 22.000000 10618.366120
4.902485 0.654664 22.000000 10675.000000
4.922495 0.656586 22.000000 10731.070270
4.942506 0.656375 21.996957 10784.445652
4.962516 0.654372 21.997569 10835.408840
4.982526 0.658237 22.000000 10885.236264
5.002536 0.656000 22.000000 10932.983607
5.022546 0.656176 22.000000 10978.176796
