serial number: RI70_21209062
torque: 8
start_temp: 4 (244)
finish_temp: 16 (244)
note: montaz przymiar
2.001014 0.599162 123.790732 928.792683
2.021025 0.596049 117.756213 1024.609467
2.041035 0.601382 120.305389 1125.898204
2.061045 0.598326 145.127186 1218.365269
2.081055 0.598570 148.014611 1307.538922
2.101065 0.601895 139.024524 1398.053571
2.121075 0.594658 142.697212 1478.551515
2.141085 0.600342 136.814048 1562.029762
2.161096 0.598375 123.577590 1640.373494
2.181106 0.596445 127.565714 1714.291667
2.201116 0.601508 143.008193 1791.265060
2.221126 0.595035 142.805581 1862.186047
2.241136 0.599704 143.081667 1934.005952
2.261146 0.599430 133.162716 2003.679012
2.281156 0.595195 136.888521 2067.414201
2.301167 0.600193 126.661078 2136.179641
2.321177 0.596255 119.510732 2199.524390
2.341187 0.596804 122.228402 2260.857988
2.361197 0.600814 127.164024 2326.727811
2.381207 0.593647 132.172235 2386.141176
2.401217 0.599261 136.501481 2447.135802
2.421227 0.597049 122.843041 2506.836257
2.441238 0.594988 124.247229 2562.753012
2.461248 0.600914 125.030419 2621.922156
2.481258 0.593268 132.587765 2676.105882
2.501268 0.597320 141.208193 2729.096386
2.521278 0.597808 131.289581 2783.389222
2.541288 0.594613 120.677381 2832.291667
2.561298 0.599894 130.511084 2885.289157
2.581309 0.595388 131.538837 2935.709302
2.601319 0.596806 121.780941 2984.194118
2.621329 0.600568 122.169268 3034.560976
2.641339 0.593944 124.421775 3079.556213
2.661349 0.599516 131.406303 3127.739394
2.681359 0.598199 141.707059 3175.494118
2.701369 0.595657 131.116364 3218.072727
2.721380 0.601329 133.610292 3266.742690
2.741390 0.594650 137.023515 3312.187879
2.761400 0.599810 135.513136 3356.798817
2.781410 0.599502 119.864390 3403.658537
2.801420 0.595401 119.008095 3446.910714
2.821430 0.601361 131.181557 3492.185629
2.841440 0.597300 141.529762 3535.547619
2.861451 0.597796 142.407470 3577.722892
2.881461 0.601843 139.773728 3620.863905
2.901471 0.596124 134.717619 3659.023810
2.921481 0.601164 124.325542 3699.283133
2.941491 0.600555 135.605680 3734.053254
2.961501 0.597403 124.707578 3768.844720
2.981511 0.603660 123.937647 3800.288235
3.001522 0.598634 122.010539 3833.934132
3.021532 0.600744 117.359000 3859.468750
3.041542 0.603274 128.718605 3892.127907
3.061552 0.599375 115.336646 3914.621118
3.081562 0.604545 133.520476 3944.863095
3.101572 0.600073 138.712941 3971.970588
3.121583 0.601988 134.416687 3997.766871
3.141593 0.452678 124.110656 4029.036885
3.161603 0.543203 125.702660 4056.349754
3.181613 0.564706 130.901554 4091.932642
3.201623 0.572941 140.975789 4121.173684
3.221633 0.578854 143.756383 4156.053191
3.241643 0.586538 141.926010 4187.849741
3.261654 0.583652 135.104894 4224.010638
3.281664 0.590303 122.697946 4256.464865
3.301674 0.593880 124.665217 4291.440217
3.321684 0.589171 130.906524 4325.470588
3.341694 0.596134 132.421099 4361.659341
3.361704 0.594730 132.306087 4399.358696
3.381714 0.594654 134.911398 4435.161290
3.401725 0.598053 133.441925 4476.465241
3.421735 0.593709 140.646339 4513.092896
3.441745 0.597919 134.289730 4553.767568
3.461755 0.597576 126.882366 4593.887097
3.481765 0.595538 129.599144 4632.454545
3.501775 0.599145 124.164719 4671.797753
3.521785 0.594301 130.294316 4706.800000
3.541796 0.596499 134.860000 4743.780899
3.561806 0.598136 121.701604 4776.171123
3.581816 0.594849 131.915183 4809.256545
3.601826 0.599281 133.611620 4842.810056
3.621836 0.594501 133.926667 4868.400000
3.641846 0.597750 128.010638 4900.510638
3.661856 0.598458 123.288913 4925.885870
3.681867 0.594479 131.233333 4954.172043
3.701877 0.598164 136.979006 4984.558011
3.721887 0.597605 150.672000 5009.394595
3.741897 0.595552 146.071381 5042.419890
3.761907 0.599381 129.589574 5070.324468
3.781917 0.594738 125.408261 5103.179348
3.801927 0.597867 126.620749 5137.727273
3.821938 0.598557 128.930273 5168.092896
3.841948 0.595405 133.752609 5202.168478
3.861958 0.597894 123.892088 5236.626374
3.881968 0.595387 117.998919 5268.648649
3.901978 0.597847 138.423696 5305.820652
3.921988 0.598964 151.671381 5338.502762
3.941998 0.594983 135.022316 5373.763158
3.962009 0.597878 139.696629 5413.808989
3.982019 0.599091 150.024783 5444.592391
4.002029 0.596684 149.169362 5485.702128
4.022039 0.598667 143.581006 5521.407821
4.042049 0.595953 133.997684 5558.926316
4.062059 0.599027 134.055470 5601.900552
4.082069 0.598452 126.663017 5635.592179
4.102080 0.593995 121.402963 5679.359788
4.122090 0.598391 130.153478 5720.532609
4.142100 0.595627 130.150383 5757.704918
4.162110 0.596089 142.276703 5802.406593
4.182120 0.596650 130.497053 5840.589474
4.202130 0.592754 124.798696 5884.625000
4.222140 0.595557 131.692834 5929.577540
4.242151 0.593670 138.029032 5970.365591
4.262161 0.592908 134.204348 6017.777174
4.282171 0.592942 142.780435 6061.163043
4.302181 0.590479 142.429189 6107.237838
4.322191 0.591822 131.538495 6158.204301
4.342201 0.591490 125.439153 6201.645503
4.362211 0.589663 121.403386 6255.195767
4.382222 0.590995 121.740331 6306.707182
4.402232 0.588397 124.329474 6357.689474
4.422242 0.588928 138.941405 6416.913514
4.442252 0.587869 140.642128 6469.835106
4.462262 0.587040 132.826162 6529.616216
4.482272 0.587321 131.629948 6594.916230
4.502282 0.586931 130.832727 6655.058824
4.522293 0.586038 129.369574 6722.271277
4.542303 0.584642 133.067021 6790.425532
4.562313 0.583524 136.544712 6862.083770
4.582323 0.585154 129.337143 6938.076923
4.602333 0.583439 127.963750 7009.567708
4.622343 0.583125 129.167158 7090.052632
4.642353 0.581761 128.227447 7172.388298
4.662364 0.580741 126.423789 7251.584211
4.682374 0.580254 111.139683 7337.058201
4.702384 0.579541 116.573333 7420.052083
4.722394 0.578149 126.783579 7509.457895
4.742404 0.578063 134.631832 7602.151832
4.762414 0.576463 132.823830 7689.058511
4.782424 0.576292 117.343179 7785.579487
4.802435 0.575242 122.870486 7882.378378
4.822445 0.572714 123.166875 7980.375000
4.842455 0.574045 129.438105 8079.810526
4.862465 0.571868 133.988660 8181.268041
4.882475 0.571007 136.058750 8286.036458
4.902485 0.571070 122.947216 8392.917526
4.922495 0.569058 128.460211 8497.842105
4.942506 0.570176 138.783958 8603.812500
4.962516 0.568804 128.845567 8710.417526
4.982526 0.567756 130.547614 8815.314721
5.002536 0.567852 134.978737 8920.036842
5.022546 0.566193 135.544848 9022.580808
5.042556 0.567683 124.052021 9123.818653
5.062567 0.566783 127.227282 9225.517949
5.082577 0.565360 124.862041 9324.204082
5.102587 0.566088 134.405895 9419.242105
5.122597 0.565275 124.189091 9513.803030
5.142607 0.564210 118.187216 9605.319588
5.162617 0.564522 118.355306 9695.602041
5.182627 0.563113 115.869128 9781.569231
5.202638 0.564176 123.399798 9864.838384
5.222648 0.562019 137.872917 9946.635417
5.242658 0.562393 150.811400 10023.695000
5.262668 0.561908 140.325106 10098.420213
5.282678 0.560571 128.863147 10170.421320
5.302688 0.561787 131.310863 10240.010152
5.322698 0.559927 122.620305 10310.390863
5.342709 0.559949 121.262154 10376.035897
5.362719 0.561450 123.426465 10440.520202
5.382729 0.560681 121.368200 10504.820000
5.402739 0.561226 127.047423 10564.845361
5.422749 0.561362 130.550051 10625.192893
5.442759 0.561351 127.453198 10682.467005
5.462769 0.561701 116.895751 10737.310881
5.482780 0.561611 120.263636 10792.414141
5.502790 0.560616 130.824536 10843.211340
5.522800 0.561638 116.922030 10895.675127
5.542810 0.560139 119.955282 10945.292308
5.562820 0.562855 117.616853 10992.604061
5.582830 0.561175 115.329137 11040.050761
5.602840 0.561257 125.316891 11083.440415
5.622851 0.562758 124.877320 11125.752577
5.642861 0.561468 143.474112 11166.223350
5.662871 0.561796 142.893861 11202.881188
5.682881 0.562114 126.688796 11241.821990
5.702891 0.561116 142.778763 11276.561856
5.722901 0.562811 137.803200 11311.985000
5.742911 0.561657 136.506667 11348.052083
5.762922 0.562333 127.271269 11379.934010
5.782932 0.563554 123.223299 11413.829897
5.802942 0.561423 116.129697 11442.691919
5.822952 0.564249 114.272449 11467.270408
5.842962 0.563549 134.051458 11497.145833
5.862972 0.563527 140.730256 11523.866667
5.882982 0.565580 124.212857 11557.887755
5.902993 0.564507 116.544821 11589.620513
5.923003 0.565564 117.318947 11616.131579
5.943013 0.566617 126.637128 11642.266667
5.963023 0.565009 124.948571 11667.204082
5.983033 0.566430 123.080207 11693.414508
6.003043 0.565626 132.871066 11716.939086
6.023053 0.565476 136.171875 11737.958333
6.043064 0.568149 135.516364 11759.666667
6.063074 0.564523 125.541895 11782.847368
6.083084 0.568514 132.463147 11804.324873
6.103094 0.568480 134.077068 11829.413613
6.123104 0.567920 126.271088 11847.295337
6.143114 0.571984 108.901250 11871.640625
6.163124 0.569570 123.740704 11897.562814
6.183135 0.570843 127.600638 11926.063830
6.203145 0.572841 122.068163 11950.122449
6.223155 0.571357 141.921667 11978.416667
6.243165 0.574425 153.635914 12005.870968
6.263175 0.573142 137.288687 12036.131313
