serial number: JANUSZ_3_RI80_21414853
torque: 16
start_temp: 22 (24)
finish_temp: 22 (24)
note: PCB 3_4
2.721380 0.206403 22.000000 0.000000
2.741390 0.196838 22.000000 0.000000
2.761400 0.207317 22.000000 0.000000
2.781410 0.201083 22.000000 0.000000
2.801420 0.203744 22.000000 0.000000
2.821430 0.204682 22.000000 0.000000
2.841440 0.193239 22.000000 0.000000
2.861451 0.205689 22.000000 0.000000
2.881461 0.201911 22.000000 0.000000
2.901471 0.196834 22.000000 0.000000
2.921481 0.205446 22.000000 0.000000
2.941491 0.197690 22.000000 0.000000
2.961501 0.207922 22.000000 0.000000
2.981511 0.204330 22.000000 0.000000
3.001522 0.191623 22.000000 0.000000
3.021532 0.204890 22.000000 0.000000
3.041542 0.197936 22.000000 0.000000
3.061552 0.199144 22.000000 0.000000
3.081562 0.204524 22.000000 0.000000
3.101572 0.196152 22.000000 0.000000
3.121583 0.209682 22.000000 0.000000
3.141593 0.203269 22.000000 0.000000
3.161603 0.165144 22.000000 0.000000
3.181613 0.196835 22.000000 0.000000
3.201623 0.190747 22.000000 0.000000
3.221633 0.204477 22.000000 0.000000
3.241643 0.202820 22.000000 0.000000
3.261654 0.193182 22.000000 0.000000
3.281664 0.206493 22.000000 0.000000
3.301674 0.197914 22.000000 0.000000
3.321684 0.202985 22.000000 0.000000
3.341694 0.205150 22.000000 0.000000
3.361704 0.194507 22.000000 0.000000
3.381714 0.209993 22.000000 0.000000
3.401725 0.203299 22.000000 0.000000
3.421735 0.198227 22.000000 0.000000
3.441745 0.205019 22.000000 0.000000
3.461755 0.194445 22.000000 0.000000
3.481765 0.205846 22.000000 0.000000
3.501775 0.203609 22.000000 0.000000
3.521785 0.193969 22.000000 0.000000
3.541796 0.206599 22.000000 0.000000
3.561806 0.200161 22.000000 0.000000
3.581816 0.204150 22.000000 0.000000
3.601826 0.206458 22.000000 0.000000
3.621836 0.193774 22.000000 0.000000
3.641846 0.205902 22.000000 0.000000
3.661856 0.201667 22.000000 0.000000
3.681867 0.198759 22.000000 0.000000
3.701877 0.206854 22.000000 0.000000
3.721887 0.194958 22.000000 0.000000
3.741897 0.206603 22.000000 0.000000
3.761907 0.203721 22.000000 0.000000
