serial number: JANUSZ_3_RI80_21414841
torque: 16
start_temp: 41 (45)
finish_temp: 41 (43)
note: po dotarciu
1.300659 0.203632 41.000000 0.000000
1.320670 0.203704 41.000000 0.000000
1.340680 0.181345 41.000000 0.000000
1.360690 0.207611 41.000000 0.000000
1.380700 0.189780 41.000000 0.000000
1.400710 0.195859 41.000000 0.000000
1.420720 0.206555 41.000000 0.000000
1.440730 0.183925 41.000000 0.000000
1.460741 0.209332 41.000000 0.000000
1.480751 0.196956 41.003614 0.000000
1.500761 0.190639 41.009150 0.000000
1.520771 0.203097 41.000000 0.000000
1.540781 0.184429 41.000000 0.000000
1.560791 0.203916 41.000000 0.000000
1.580801 0.205435 41.000000 0.000000
1.600812 0.183424 41.000000 0.000000
1.620822 0.208637 41.000000 0.000000
1.640832 0.189311 41.000000 0.000000
1.660842 0.196850 41.000000 0.000000
1.680852 0.202009 41.000000 0.000000
1.700862 0.179654 41.000000 0.000000
1.720872 0.208918 41.000000 0.000000
1.740883 0.201770 41.000000 0.000000
1.760893 0.190434 41.000000 0.000000
1.780903 0.209935 41.000000 0.000000
1.800913 0.178391 41.000000 0.000000
1.820923 0.201818 41.000000 0.000000
1.840933 0.201312 41.000000 0.000000
1.860943 0.177371 41.000000 0.000000
1.880954 0.208070 41.000000 0.000000
1.900964 0.187780 41.000000 0.000000
1.920974 0.197483 41.000000 0.000000
1.940984 0.205148 41.000000 0.000000
1.960994 0.173458 41.000000 0.000000
1.981004 0.206671 41.000000 0.000000
2.001014 0.194708 41.000000 0.000000
2.021025 0.182846 41.000000 0.000000
2.041035 0.203925 41.000000 0.000000
2.061045 0.184192 41.000000 0.000000
2.081055 0.209755 41.000000 0.000000
2.101065 0.199206 41.000000 0.000000
2.121075 0.184551 41.000000 0.000000
2.141085 0.209471 41.000000 0.000000
2.161096 0.191622 41.000000 0.000000
2.181106 0.204396 41.000000 0.000000
2.201116 0.206709 41.000000 0.000000
2.221126 0.187099 41.000000 0.000000
2.241136 0.214628 41.000000 0.000000
2.261146 0.195620 41.000000 0.000000
2.281156 0.200501 41.000000 0.000000
2.301167 0.210152 41.000000 0.000000
2.321177 0.188864 41.000000 0.000000
2.341187 0.211886 41.000000 0.000000
2.361197 0.205137 41.000000 0.000000
2.381207 0.195478 41.000000 0.000000
2.401217 0.217298 41.000000 0.000000
2.421227 0.193245 41.000000 0.000000
2.441238 0.210725 41.000000 0.000000
2.461248 0.206656 41.000000 0.000000
2.481258 0.186470 41.000000 0.000000
2.501268 0.213558 41.000000 0.000000
2.521278 0.199189 41.000000 0.000000
2.541288 0.205673 41.000000 0.000000
2.561298 0.214406 41.000000 0.000000
2.581309 0.187204 41.000000 0.000000
2.601319 0.215096 41.000000 0.000000
2.621329 0.203043 41.000000 0.000000
2.641339 0.194755 41.000000 0.000000
2.661349 0.214343 41.000000 0.000000
